Opinião, mensagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Quem vive de rodeio não tem apenas um, tem vários!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,filha da p.. deve ser que te pos no mundo seu babaca..vá conhecer como vivem e co o sã tratados ani ais de rodeio..ninguem aqui como seu dinheiro seu babaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Vai solta na floresta ou matar, kkkkk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Perdemos não, essa votação não tem valor algum, qualquer rodeio hoje a média de público é de 20 mil pessoas por dia, si fosse uma votação na qual tivesse algum valor já teria milhões de votos à favor do sim!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,vai procurar sua turma seu idiota..não pedimos e nem vivemos com seu dinheiro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pode responder algum de vcs também, Aline, graça, lê, Marisa, Ivone, Mirian, reponde aí também que será fito com os touros de rodeio?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,E aí Aninha, diz o que será feito com os touros de rodeio, já que estamos perdendo, kkkkk?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Assisti lá, canal só para rodeios, www Brasilruraltv.com, aí, lá boi de rodeio não vai morrer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A capoeira foi desenvolvida no Brasil  mas, sua origem é africana  foi introduzida no país, pelos escravos trazidos do sul de Angola. Assim como a pizza veio de fora  a coca cola, o Mcdonalds  o futebol  o karatê, os Paulinos, os Reichlmair (heil mein fuhrer), e nem por isto  deixaram de fazer parte da cultura brasileira.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kkkkkkkkkkkk já ganhou!!! Vocês estão fazendo eu rir até 2020.. si essa votação tivesse algum valor, os grandes nomes do rodeio estaria votando também é já teríamos milhões de votos à favor!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Que despeito o povo do ""NÃO"" deve ser porque temos um canal só de rodeio, Brasil ruraltv.com, kkkkk. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
